name,iso_country,icao_code,municipality,iata_code,coordinates
Thule Air Base,GL,BGTL,Thule,THU,"-68.7032012939, 76.5311965942"
Akureyri Airport,IS,BIAR,Akureyri,AEY,"-18.07270050048828, 65.66000366210938"
Egilssta����ir Airport,IS,BIEG,Egilssta����ir,EGS,"-14.401399612426758, 65.2833023071289"
Hornafj����r����ur Airport,IS,BIHN,H����fn,HFN,"-15.2272, 64.295601"
H����sav����k Airport,IS,BIHU,H����sav����k,HZK,"-17.426001, 65.952301"
����safj����r����ur Airport,IS,BIIS,����safj����r����ur,IFJ,"-23.135299682617188, 66.05809783935547"
Keflavik International Airport,IS,BIKF,Reykjav����k,KEF,"-22.6056, 63.985001"
Reykjavik Airport,IS,BIRK,Reykjavik,RKV,"-21.9405994415, 64.1299972534"
Siglufj����r����ur Airport,IS,BISI,Siglufj����r����ur,SIJ,"-18.9167, 66.133301"
Vestmannaeyjar Airport,IS,BIVM,Vestmannaeyjar,VEY,"-20.278900146484375, 63.42430114746094"
Pri����tina International Airport,XK,BKPR,Prishtina,PRN,"21.035801, 42.5728"
San Pedro Airport,BZ,MZSP,San Pedro,SPR,"-87.9711, 17.9139"
Yinchuan Hedong International Airport,CN,ZLIC,Yinchuan,INC,"106.393214, 38.322758"
Duplicate --Yantai Penglai International Airport,CN,ZSYT,Yantai,YNT,"120.9872, 37.65722"
Yuanmou Air Base,CN,ZPYM,Yuanmou,YUA,"101.88200378418, 25.737499237061"
Zhangjiakou Ningyuan Airport,CN,ZBZJ,Zhangjiakou,ZQZ,"114.930000305, 40.7386016846"
Lintsang Airfield,CN,ZPLC,Lincang,LNJ,"100.025001526, 23.738100051900002"
Shigatse Air Base,CN,ZURK,Xigaz����,RKZ,"89.311401, 29.3519"
Bao'anying Airport,CN,ZUZH,Panzhihua,PZI,"101.79852, 26.54"
Foshan Shadi Airport,CN,ZGFS,Foshan,FUO,"113.069999695, 23.083299636799996"
Xinyang Minggang Airport,CN,ZHXY,Xinyang,XAI,"114.079141, 32.540819"
Huizhou Airport,CN,ZGHZ,Huizhou,HUZ,"114.599998474, 23.0499992371"
Jinggangshan Airport,CN,ZSJA,Ji'an,JGS,"114.736999512, 26.856899261499997"
Baise Youjiang Airport,CN,ZGBS,Baise,AEB,"106.959999084, 23.7206001282"
Dongying Shengli Airport,CN,ZSDY,Dongying,DOY,"118.788002014, 37.5085983276"
Altay Air Base,CN,ZWAT,Altay,AAT,"88.08580780030002, 47.7498855591"
Tianshui Maijishan Airport,CN,ZLTS,Tianshui,THQ,"105.86000061, 34.5593986511"
Zhangye Ganzhou Airport,CN,ZLZY,Zhangye,YZY,"100.675003052, 38.8018989563"
Dandong Airport,CN,ZYDD,Dandong,DDG,"124.286003, 40.0247"
Lefkoniko Airport,CY,LCGK,Ge����itkale,GEC,"33.724358, 35.235947"
Cat Lake Airport,CA,CYAC,Cat Lake,YAC,"-91.82440185546875, 51.72719955444336"
Fort Frances Municipal Airport,CA,CYAG,Fort Frances,YAG,"-93.439697265625, 48.65420150756836"
La Grande-4 Airport,CA,CYAH,La Grande-4,YAH,"-73.6753005981, 53.754699707"
Alert Bay Airport,CA,CYAL,Alert Bay,YAL,"-126.91600036621094, 50.58219909667969"
Sault Ste Marie Airport,CA,CYAM,Sault Ste Marie,YAM,"-84.509399, 46.485001"
Kasabonika Airport,CA,CYAQ,Kasabonika,XKS,"-88.6427993774414, 53.52470016479492"
Kangirsuk Airport,CA,CYAS,Kangirsuk,YKG,"-69.99919891357422, 60.027198791503906"
Attawapiskat Airport,CA,CYAT,Attawapiskat,YAT,"-82.43190002441406, 52.9275016784668"
St. Anthony Airport,CA,CYAY,St. Anthony,YAY,"-56.083099365200006, 51.3918991089"
Tofino / Long Beach Airport,CA,CYAZ,Tofino,YAZ,"-125.775583, 49.079833"
Kugaaruk Airport,CA,CYBB,Kugaaruk,YBB,"-89.808098, 68.534401"
Baie Comeau Airport,CA,CYBC,Baie-Comeau,YBC,"-68.204399, 49.1325"
Bella Coola Airport,CA,CYBD,Bella Coola,QBC,"-126.596001, 52.387501"
Uranium City Airport,CA,CYBE,Uranium City,YBE,"-108.48100280761719, 59.5614013671875"
Bonnyville Airport,CA,CYBF,Bonnyville,YBY,"-110.744003, 54.304199"
CFB Bagotville,CA,CYBG,Bagotville,YBG,"-70.99639892578125, 48.33060073852539"
Baker Lake Airport,CA,CYBK,Baker Lake,YBK,"-96.077796936, 64.29889678960001"
Campbell River Airport,CA,CYBL,Campbell River,YBL,"-125.271004, 49.950802"
Tadoule Lake Airport,CA,CYBQ,Tadoule Lake,XTL,"-98.512199, 58.7061"
Brandon Municipal Airport,CA,CYBR,Brandon,YBR,"-99.951897, 49.91"
Brochet Airport,CA,CYBT,Brochet,YBT,"-101.679001, 57.8894"
Berens River Airport,CA,CYBV,Berens River,YBV,"-97.018303, 52.358898"
Lourdes de Blanc Sablon Airport,CA,CYBX,Lourdes-De-Blanc-Sablon,YBX,"-57.185298919699996, 51.443599700899995"
Cartwright Airport,CA,CYCA,Cartwright,YRF,"-57.041900634765625, 53.68280029296875"
Cambridge Bay Airport,CA,CYCB,Cambridge Bay,YCB,"-105.138000488, 69.1081008911"
Cornwall Regional Airport,CA,CYCC,Cornwall,YCC,"-74.56330108642578, 45.09280014038086"
Nanaimo Airport,CA,CYCD,Nanaimo,YCD,"-123.869862556, 49.054970224899996"
Centralia / James T. Field Memorial Aerodrome,CA,CYCE,Centralia,YCE,"-81.508301, 43.285599"
Castlegar/West Kootenay Regional Airport,CA,CYCG,Castlegar,YCG,"-117.632003784, 49.2963981628"
Miramichi Airport,CA,CYCH,Miramichi,YCH,"-65.449203, 47.007801"
Charlo Airport,CA,CYCL,Charlo,YCL,"-66.330299, 47.990799"
Cochrane Airport,CA,CYCN,Cochrane,YCN,"-81.01360321044922, 49.10559844970703"
Kugluktuk Airport,CA,CYCO,Kugluktuk,YCO,"-115.143997, 67.816704"
Chetwynd Airport,CA,CYCQ,Chetwynd,YCQ,"-121.62699890136719, 55.687198638916016"
Cross Lake (Charlie Sinclair Memorial) Airport,CA,CYCR,Cross Lake,YCR,"-97.76080322265625, 54.610599517822266"
Chesterfield Inlet Airport,CA,CYCS,Chesterfield Inlet,YCS,"-90.73110198970001, 63.346900939899996"
Clyde River Airport,CA,CYCY,Clyde River,YCY,"-68.5167007446, 70.4860992432"
Dawson City Airport,CA,CYDA,Dawson City,YDA,"-139.1280059814453, 64.04309844970703"
Burwash Airport,CA,CYDB,Burwash,YDB,"-139.04100036621094, 61.37110137939453"
Deer Lake Airport,CA,CYDF,Deer Lake,YDF,"-57.39139938354492, 49.21080017089844"
Ross River Airport,CA,CYDM,Ross River,XRR,"-132.42300415, 61.9706001282"
Dauphin Barker Airport,CA,CYDN,Dauphin,YDN,"-100.052001953125, 51.100799560546875"
Dolbeau St Felicien Airport,CA,CYDO,Dolbeau-St-F����licien,YDO,"-72.375, 48.778499603271"
Nain Airport,CA,CYDP,Nain,YDP,"-61.680301666259766, 56.549198150634766"
Dawson Creek Airport,CA,CYDQ,Dawson Creek,YDQ,"-120.18299865722656, 55.7422981262207"
Edmonton International Airport,CA,CYEG,Edmonton,YEG,"-113.580001831, 53.309700012200004"
Arviat Airport,CA,CYEK,Arviat,YEK,"-94.07080078119999, 61.0942001343"
Elliot Lake Municipal Airport,CA,CYEL,Elliot Lake,YEL,"-82.5614013672, 46.351398468"
Manitoulin East Municipal Airport,CA,CYEM,Manitowaning,YEM,"-81.85810089111328, 45.84280014038086"
Estevan Airport,CA,CYEN,Estevan,YEN,"-102.966003418, 49.2103004456"
Fort Severn Airport,CA,CYER,Fort Severn,YER,"-87.67610168457031, 56.01890182495117"
Edson Airport,CA,CYET,Edson,YET,"-116.464996338, 53.578899383499994"
Inuvik Mike Zubko Airport,CA,CYEV,Inuvik,YEV,"-133.483001709, 68.30419921880001"
Amos/Magny Airport,CA,CYEY,Amos,YEY,"-78.249702, 48.563903"
Fort Albany Airport,CA,CYFA,Fort Albany,YFA,"-81.6968994140625, 52.20140075683594"
Iqaluit Airport,CA,CYFB,Iqaluit,YFB,"-68.555801, 63.756402"
Fredericton Airport,CA,CYFC,Fredericton,YFC,"-66.53720092773438, 45.868900299072266"
Forestville Airport,CA,CYFE,Forestville,YFE,"-69.09719848632812, 48.74610137939453"
Fort Hope Airport,CA,CYFH,Fort Hope,YFH,"-87.90779876708984, 51.5619010925293"
La Macaza / Mont-Tremblant International Inc Airport,CA,CYFJ,Rivi����re Rouge,YTM,"-74.779999, 46.409401"
Flin Flon Airport,CA,CYFO,Flin Flon,YFO,"-101.68199920654297, 54.6781005859375"
Fort Resolution Airport,CA,CYFR,Fort Resolution,YFR,"-113.690002441, 61.1808013916"
Fort Simpson Airport,CA,CYFS,Fort Simpson,YFS,"-121.23699951171875, 61.76020050048828"
Makkovik Airport,CA,CYFT,Makkovik,YMN,"-59.1864013671875, 55.076900482177734"
Texada Gillies Bay Airport,CA,CYGB,Texada,YGB,"-124.51799774169922, 49.69419860839844"
Fort Good Hope Airport,CA,CYGH,Fort Good Hope,YGH,"-128.6510009765625, 66.24079895019531"
Kingston Norman Rogers Airport,CA,CYGK,Kingston,YGK,"-76.5969009399414, 44.22529983520508"
La Grande Rivi����re Airport,CA,CYGL,La Grande Rivi����re,YGL,"-77.7042007446289, 53.625301361083984"
Gimli Industrial Park Airport,CA,CYGM,Gimli,YGM,"-97.04329681396484, 50.62810134887695"
Gods Lake Narrows Airport,CA,CYGO,Gods Lake Narrows,YGO,"-94.49140167236328, 54.55889892578125"
Gasp���� (Michel-Pouliot) Airport,CA,CYGP,Gasp����,YGP,"-64.4785995483, 48.7752990723"
Geraldton Greenstone Regional Airport,CA,CYGQ,Geraldton,YGQ,"-86.93939971923828, 49.77830123901367"
����les-de-la-Madeleine Airport,CA,CYGR,����les-de-la-Madeleine,YGR,"-61.778099060058594, 47.42470169067383"
Igloolik Airport,CA,CYGT,Igloolik,YGT,"-81.8161010742, 69.3647003174"
Havre St Pierre Airport,CA,CYGV,Havre St-Pierre,YGV,"-63.61140060424805, 50.281898498535156"
Kuujjuarapik Airport,CA,CYGW,Kuujjuarapik,YGW,"-77.76529693603516, 55.281898498535156"
Gillam Airport,CA,CYGX,Gillam,YGX,"-94.71060180664062, 56.35749816894531"
Grise Fiord Airport,CA,CYGZ,Grise Fiord,YGZ,"-82.90920257570001, 76.4261016846"
Quaqtaq Airport,CA,CYHA,Quaqtaq,YQC,"-69.6177978515625, 61.0463981628418"
Dryden Regional Airport,CA,CYHD,Dryden,YHD,"-92.744202, 49.831699"
Hope Airport,CA,CYHE,Hope,YHE,"-121.498001099, 49.3683013916"
Hearst Ren���� Fontaine Municipal Airport,CA,CYHF,Hearst,YHF,"-83.68609619140625, 49.71419906616211"
Nemiscau Airport,CA,CYHH,Nemiscau,YNS,"-76.1355972290039, 51.69110107421875"
Ulukhaktok Holman Airport,CA,CYHI,Ulukhaktok,YHI,"-117.80599975585938, 70.76280212402344"
Gjoa Haven Airport,CA,CYHK,Gjoa Haven,YHK,"-95.84970092770001, 68.635597229"
John C. Munro Hamilton International Airport,CA,CYHM,Hamilton,YHM,"-79.93499755859999, 43.173599243199995"
Hornepayne Municipal Airport,CA,CYHN,Hornepayne,YHN,"-84.75890350341797, 49.19309997558594"
Hopedale Airport,CA,CYHO,Hopedale,YHO,"-60.228599548339844, 55.448299407958984"
Chevery Airport,CA,CYHR,Chevery,YHR,"-59.63669967651367, 50.46889877319336"
Haines Junction Airport,CA,CYHT,Haines Junction,YHT,"-137.54600524902344, 60.78919982910156"
Montr����al / Saint-Hubert Airport,CA,CYHU,Montr����al,YHU,"-73.4169006348, 45.5175018311"
Hay River / Merlyn Carter Airport,CA,CYHY,Hay River,YHY,"-115.782997131, 60.8396987915"
Halifax / Stanfield International Airport,CA,CYHZ,Halifax,YHZ,"-63.5085983276, 44.8807983398"
Atikokan Municipal Airport,CA,CYIB,Atikokan,YIB,"-91.6386032104, 48.7738990784"
Digby / Annapolis Regional Airport,CA,CYID,Digby,YDG,"-65.7854247093, 44.5458450365"
St Augustin Airport,CA,CYIF,St-Augustin,YIF,"-58.6582984924, 51.2117004395"
Ivujivik Airport,CA,CYIK,Ivujivik,YIK,"-77.92530059814453, 62.417301177978516"
Pond Inlet Airport,CA,CYIO,Pond Inlet,YIO,"-77.9666976929, 72.6832962036"
Island Lake Airport,CA,CYIV,Island Lake,YIV,"-94.65360260009766, 53.857200622558594"
Fort Liard Airport,CA,CYJF,Fort Liard,YJF,"-123.46900177, 60.235801696799996"
St Jean Airport,CA,CYJN,St Jean,YJN,"-73.28109741210938, 45.29439926147461"
Stephenville Airport,CA,CYJT,Stephenville,YJT,"-58.54999923706055, 48.5442008972168"
Kamloops Airport,CA,CYKA,Kamloops,YKA,"-120.444000244, 50.7022018433"
Aklavik/Freddie Carmichael Airport,CA,CYKD,Aklavik,LAK,"-135.00599, 68.223297"
Waterloo Airport,CA,CYKF,Kitchener,YKF,"-80.3786010742, 43.460800170899994"
Kangiqsujuaq (Wakeham Bay) Airport,CA,CYKG,Kangiqsujuaq,YWB,"-71.929397583, 61.5886001587"
Key Lake Airport,CA,CYKJ,Key Lake,YKJ,"-105.61799621582031, 57.256099700927734"
Schefferville Airport,CA,CYKL,Schefferville,YKL,"-66.8052978515625, 54.805301666259766"
Akulivik Airport,CA,CYKO,Akulivik,AKV,"-78.14859771728516, 60.818599700927734"
Waskaganish Airport,CA,CYKQ,Waskaganish,YKQ,"-78.75830078125, 51.47330093383789"
Kirkland Lake Airport,CA,CYKX,Kirkland Lake,YKX,"-79.98139953613281, 48.21030044555664"
Kindersley Airport,CA,CYKY,Kindersley,YKY,"-109.180999756, 51.5175018311"
Buttonville Municipal Airport,CA,CYKZ,Toronto,YKZ,"-79.37000274658203, 43.86220169067383"
Aupaluk Airport,CA,CYLA,Aupaluk,YPJ,"-69.59970092773438, 59.29669952392578"
Kimmirut Airport,CA,CYLC,Kimmirut,YLC,"-69.88330078119999, 62.8499984741"
Chapleau Airport,CA,CYLD,Chapleau,YLD,"-83.3467025756836, 47.81999969482422"
Lansdowne House Airport,CA,CYLH,Lansdowne House,YLH,"-87.93419647216797, 52.19559860229492"
Meadow Lake Airport,CA,CYLJ,Meadow Lake,YLJ,"-108.52300262451172, 54.125301361083984"
Lutselk'e Airport,CA,CYLK,Lutselk'e,YSG,"-110.681998, 62.418303"
Lloydminster Airport,CA,CYLL,Lloydminster,YLL,"-110.072998046875, 53.309200286865234"
Leaf Rapids Airport,CA,CYLR,Leaf Rapids,YLR,"-99.98529815673828, 56.513301849365234"
Alert Airport,CA,CYLT,Alert,YLT,"-62.2806015015, 82.51779937740001"
Kangiqsualujjuaq (Georges River) Airport,CA,CYLU,Kangiqsualujjuaq,XGR,"-65.9927978515625, 58.71139907836914"
Kelowna International Airport,CA,CYLW,Kelowna,YLW,"-119.377998352, 49.9561004639"
Mayo Airport,CA,CYMA,Mayo,YMA,"-135.8679962158203, 63.61640167236328"
Matane Airport,CA,CYME,Matane,YME,"-67.45330047607422, 48.85689926147461"
Manitouwadge Airport,CA,CYMG,Manitouwadge,YMG,"-85.86060333251953, 49.083900451660156"
Mary's Harbour Airport,CA,CYMH,Mary's Harbour,YMH,"-55.847198486328125, 52.302799224853516"
Moose Jaw Air Vice Marshal C. M. McEwen Airport,CA,CYMJ,Moose Jaw,YMJ,"-105.55899810791016, 50.330299377441406"
Charlevoix Airport,CA,CYML,Charlevoix,YML,"-70.2238998413086, 47.59749984741211"
Fort McMurray Airport,CA,CYMM,Fort McMurray,YMM,"-111.222000122, 56.653301239"
Moosonee Airport,CA,CYMO,Moosonee,YMO,"-80.60780334472656, 51.291099548339844"
Chapais Airport,CA,CYMT,Chibougamau,YMT,"-74.5280990600586, 49.77190017700195"
Umiujaq Airport,CA,CYMU,Umiujaq,YUD,"-76.51830291748047, 56.53609848022461"
Montreal International (Mirabel) Airport,CA,CYMX,Montr����al,YMX,"-74.038696, 45.679501"
Natashquan Airport,CA,CYNA,Natashquan,YNA,"-61.78919982910156, 50.189998626708984"
Wemindji Airport,CA,CYNC,Wemindji,YNC,"-78.83110046386719, 53.01060104370117"
Ottawa / Gatineau Airport,CA,CYND,Gatineau,YND,"-75.563599, 45.521702"
Norway House Airport,CA,CYNE,Norway House,YNE,"-97.84420013427734, 53.95830154418945"
Points North Landing Airport,CA,CYNL,Points North Landing,YNL,"-104.08200073242188, 58.27669906616211"
Matagami Airport,CA,CYNM,Matagami,YNM,"-77.80280303955078, 49.76169967651367"
Ekati Airport,CA,CYOA,Ekati,YOA,"-110.614997864, 64.6988983154"
Old Crow Airport,CA,CYOC,Old Crow,YOC,"-139.83900451660156, 67.57060241699219"
CFB Cold Lake,CA,CYOD,Cold Lake,YOD,"-110.27899932861328, 54.404998779296875"
Oxford House Airport,CA,CYOH,Oxford House,YOH,"-95.27890014648438, 54.93330001831055"
High Level Airport,CA,CYOJ,High Level,YOJ,"-117.16500091552734, 58.62139892578125"
Toronto/Oshawa Executive Airport,CA,CYOO,Oshawa,YOO,"-78.894997, 43.922798"
Rainbow Lake Airport,CA,CYOP,Rainbow Lake,YOP,"-119.40799713134766, 58.49140167236328"
Owen Sound / Billy Bishop Regional Airport,CA,CYOS,Owen Sound,YOS,"-80.8375015259, 44.5903015137"
Ottawa Macdonald-Cartier International Airport,CA,CYOW,Ottawa,YOW,"-75.66919708251953, 45.3224983215332"
Prince Albert Glass Field,CA,CYPA,Prince Albert,YPA,"-105.672996521, 53.214199066199996"
Paulatuk (Nora Aliqatchialuk Ruben) Airport,CA,CYPC,Paulatuk,YPC,"-124.075469971, 69.3608381154"
Port Hawkesbury Airport,CA,CYPD,Port Hawkesbury,YPS,"-61.3680992126, 45.6567001343"
Peace River Airport,CA,CYPE,Peace River,YPE,"-117.446999, 56.226898"
Portage-la-Prairie / Southport Airport,CA,CYPG,Portage la Prairie,YPG,"-98.273817, 49.903099"
Inukjuak Airport,CA,CYPH,Inukjuak,YPH,"-78.07689666748047, 58.471900939941406"
Pickle Lake Airport,CA,CYPL,Pickle Lake,YPL,"-90.21420288085938, 51.4463996887207"
Pikangikum Airport,CA,CYPM,Pikangikum,YPM,"-93.97329711914062, 51.819698333740234"
Port Menier Airport,CA,CYPN,Port-Menier,YPN,"-64.2885971069336, 49.83639907836914"
Peawanuck Airport,CA,CYPO,Peawanuck,YPO,"-85.44329833984375, 54.98809814453125"
Peterborough Airport,CA,CYPQ,Peterborough,YPQ,"-78.36329650878906, 44.22999954223633"
Prince Rupert Airport,CA,CYPR,Prince Rupert,YPR,"-130.445007324, 54.286098480199996"
Powell River Airport,CA,CYPW,Powell River,YPW,"-124.5, 49.83420181274414"
Puvirnituq Airport,CA,CYPX,Puvirnituq,YPX,"-77.28690338134766, 60.05059814453125"
Fort Chipewyan Airport,CA,CYPY,Fort Chipewyan,YPY,"-111.11699676513672, 58.7672004699707"
Muskoka Airport,CA,CYQA,Muskoka,YQA,"-79.30329895019531, 44.974700927734375"
Quebec Jean Lesage International Airport,CA,CYQB,Quebec,YQB,"-71.393303, 46.7911"
The Pas Airport,CA,CYQD,The Pas,YQD,"-101.09100341796875, 53.97140121459961"
Red Deer Regional Airport,CA,CYQF,Red Deer,YQF,"-113.89399719238281, 52.18220138549805"
Windsor Airport,CA,CYQG,Windsor,YQG,"-82.95559692382812, 42.27560043334961"
Watson Lake Airport,CA,CYQH,Watson Lake,YQH,"-128.82200622558594, 60.11640167236328"
Yarmouth Airport,CA,CYQI,Yarmouth,YQI,"-66.08809661865234, 43.826900482177734"
Kenora Airport,CA,CYQK,Kenora,YQK,"-94.36309814453125, 49.788299560546875"
Lethbridge County Airport,CA,CYQL,Lethbridge,YQL,"-112.800003052, 49.6302986145"
Greater Moncton Rom����o LeBlanc International Airport,CA,CYQM,Moncton,YQM,"-64.678596, 46.112202"
Nakina Airport,CA,CYQN,Nakina,YQN,"-86.69640350341797, 50.18280029296875"
Comox Airport,CA,CYQQ,Comox,YQQ,"-124.88700103759766, 49.71080017089844"
Regina International Airport,CA,CYQR,Regina,YQR,"-104.66600036621094, 50.43190002441406"
St Thomas Municipal Airport,CA,CYQS,St Thomas,YQS,"-81.11080169677734, 42.77000045776367"
Thunder Bay Airport,CA,CYQT,Thunder Bay,YQT,"-89.32389831542969, 48.37189865112305"
Grande Prairie Airport,CA,CYQU,Grande Prairie,YQU,"-118.885002136, 55.1796989441"
Yorkton Municipal Airport,CA,CYQV,Yorkton,YQV,"-102.46199798583984, 51.26470184326172"
North Battleford Airport,CA,CYQW,North Battleford,YQW,"-108.24400329589844, 52.76919937133789"
Gander International Airport,CA,CYQX,Gander,YQX,"-54.56809997558594, 48.9369010925293"
Sydney / J.A. Douglas McCurdy Airport,CA,CYQY,Sydney,YQY,"-60.047798, 46.1614"
Quesnel Airport,CA,CYQZ,Quesnel,YQZ,"-122.51000213623047, 53.026100158691406"
Rae Lakes Airport,CA,CYRA,Gam����t����,YRA,"-117.30999755859375, 64.11609649658203"
Resolute Bay Airport,CA,CYRB,Resolute Bay,YRB,"-94.9693984985, 74.7169036865"
Rivi����re-du-Loup Airport,CA,CYRI,Rivi����re-du-Loup,YRI,"-69.58470153808594, 47.764400482177734"
Roberval Airport,CA,CYRJ,Roberval,YRJ,"-72.2656021118164, 48.52000045776367"
Red Lake Airport,CA,CYRL,Red Lake,YRL,"-93.79309844970703, 51.066898345947266"
Ottawa / Rockcliffe Airport,CA,CYRO,Ottawa,YRO,"-75.64610290530001, 45.4603004456"
Trois-Rivi����res Airport,CA,CYRQ,Trois-Rivi����res,YRQ,"-72.67939758300781, 46.35279846191406"
Red Sucker Lake Airport,CA,CYRS,Red Sucker Lake,YRS,"-93.55719757080078, 54.167198181152344"
Rankin Inlet Airport,CA,CYRT,Rankin Inlet,YRT,"-92.1157989502, 62.8114013672"
Revelstoke Airport,CA,CYRV,Revelstoke,YRV,"-118.182998657, 50.9667015076"
Sudbury Airport,CA,CYSB,Sudbury,YSB,"-80.79889678955078, 46.625"
Sherbrooke Airport,CA,CYSC,Sherbrooke,YSC,"-71.69139862060547, 45.4385986328125"
Stony Rapids Airport,CA,CYSF,Stony Rapids,YSF,"-105.84100341796875, 59.250301361083984"
Smiths Falls-Montague (Russ Beach) Airport,CA,CYSH,Smiths Falls,YSH,"-75.94059753417969, 44.94580078125"
Saint John Airport,CA,CYSJ,Saint John,YSJ,"-65.89029693603516, 45.31610107421875"
Sanikiluaq Airport,CA,CYSK,Sanikiluaq,YSK,"-79.2466964722, 56.5377998352"
St Leonard Airport,CA,CYSL,St Leonard,YSL,"-67.83470153808594, 47.157501220703125"
Fort Smith Airport,CA,CYSM,Fort Smith,YSM,"-111.96199798583984, 60.020301818847656"
Niagara District Airport,CA,CYSN,St Catharines,YCM,"-79.17169952392578, 43.19169998168945"
Marathon Airport,CA,CYSP,Marathon,YSP,"-86.34439849853516, 48.75529861450195"
St. Theresa Point Airport,CA,CYST,St. Theresa Point,YST,"-94.85189819335938, 53.84560012817383"
Summerside Airport,CA,CYSU,Summerside,YSU,"-63.83359909057617, 46.44060134887695"
Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,CA,CYSY,Sachs Harbour,YSY,"-125.242996216, 71.9938964844"
Pembroke Airport,CA,CYTA,Pembroke,YTA,"-77.25170135498047, 45.86439895629883"
Cape Dorset Airport,CA,CYTE,Cape Dorset,YTE,"-76.5267028809, 64.2300033569"
Alma Airport,CA,CYTF,Alma,YTF,"-71.64189910889999, 48.50889968869999"
Thompson Airport,CA,CYTH,Thompson,YTH,"-97.86419677734375, 55.80110168457031"
Big Trout Lake Airport,CA,CYTL,Big Trout Lake,YTL,"-89.89689636230469, 53.81779861450195"
Tasiujaq Airport,CA,CYTQ,Tasiujaq,YTQ,"-69.95580291748047, 58.66780090332031"
CFB Trenton,CA,CYTR,Trenton,YTR,"-77.5280990600586, 44.118900299072266"
Timmins/Victor M. Power,CA,CYTS,Timmins,YTS,"-81.376701355, 48.569698333699996"
Billy Bishop Toronto City Centre Airport,CA,CYTZ,Toronto,YTZ,"-79.396202, 43.627499"
Tuktoyaktuk Airport,CA,CYUB,Tuktoyaktuk,YUB,"-133.0260009765625, 69.43329620361328"
Montreal / Pierre Elliott Trudeau International Airport,CA,CYUL,Montr����al,YUL,"-73.7407989502, 45.4706001282"
Naujaat Airport,CA,CYUT,Repulse Bay,YUT,"-86.224701, 66.5214"
Hall Beach Airport,CA,CYUX,Hall Beach,YUX,"-81.2425, 68.77610015869999"
Rouyn Noranda Airport,CA,CYUY,Rouyn-Noranda,YUY,"-78.83560180664062, 48.20610046386719"
Bonaventure Airport,CA,CYVB,Bonaventure,YVB,"-65.46029663085938, 48.07109832763672"
La Ronge Airport,CA,CYVC,La Ronge,YVC,"-105.262001038, 55.151401519800004"
Vernon Airport,CA,CYVK,Vernon,YVE,"-119.33100128173828, 50.24810028076172"
Qikiqtarjuaq Airport,CA,CYVM,Qikiqtarjuaq,YVM,"-64.03140258789999, 67.5457992554"
Val-d'Or Airport,CA,CYVO,Val-d'Or,YVO,"-77.7827987671, 48.0532989502"
